上证50 (000016) on 06-17 17:05:51, price= 3000.03, ratio= -1.57%,amount=941910.56 
西部材料(002149) on 07-13 22:17:49, price=20.13, ratio=  3.23%,amount=14160.43 
通润装备(002150) on 07-13 22:17:49, price=10.68, ratio=  0.19%,amount=9380.00 
北斗星通(002151) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
广电运通(002152) on 07-13 22:17:49, price=34.96, ratio=  7.08%,amount=78675.11 
石基信息(002153) on 07-13 22:17:49, price=109.13, ratio=  0.00%,amount=35891.64 
报喜鸟  (002154) on 07-13 22:17:49, price= 6.64, ratio=  0.00%,amount=3324.88 
湖南黄金(002155) on 07-13 22:17:49, price=10.89, ratio=  6.97%,amount=79775.46 
通富微电(002156) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
正邦科技(002157) on 07-13 22:17:49, price=17.79, ratio=  0.51%,amount=56266.61 
汉钟精机(002158) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
三特索道(002159) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
常铝股份(002160) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
远望谷  (002161) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
斯米克  (002162) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中航三鑫(002163) on 07-13 22:17:49, price= 9.15, ratio=  0.00%,amount=31882.77 
宁波东力(002164) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
红宝丽  (002165) on 07-13 22:17:49, price= 7.89, ratio=  0.38%,amount=21601.69 
莱茵生物(002166) on 07-13 22:17:49, price=31.20, ratio=  7.62%,amount=66315.90 
东方锆业(002167) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
深圳惠程(002168) on 07-13 22:17:49, price=12.74, ratio=  0.00%,amount=64637.98 
智光电气(002169) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
芭田股份(002170) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
精诚铜业(002171) on 07-13 22:17:49, price=18.18, ratio=  0.00%,amount=25687.14 
澳洋科技(002172) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
千足珍珠(002173) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
游族网络(002174) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
广陆数测(002175) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
江特电机(002176) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
御银股份(002177) on 07-13 22:17:49, price= 9.33, ratio=  0.00%,amount=2400.93 
延华智能(002178) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中航光电(002179) on 07-13 22:17:49, price=32.09, ratio=  0.00%,amount=3609.36 
艾派克  (002180) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
粤传媒  (002181) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
云海金属(002182) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
怡亚通  (002183) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海得控制(002184) on 07-13 22:17:49, price=33.48, ratio=  0.00%,amount=1007.41 
华天科技(002185) on 07-13 22:17:49, price=16.49, ratio=  0.00%,amount=52248.15 
全聚德  (002186) on 07-13 22:17:49, price=23.87, ratio=  7.47%,amount=35348.10 
广百股份(002187) on 07-13 22:17:49, price=15.09, ratio=  0.00%,amount=16046.68 
新嘉联  (002188) on 07-13 22:17:49, price=22.46, ratio=  0.00%,amount=22079.61 
利达光电(002189) on 07-13 22:17:49, price=21.27, ratio=  3.76%,amount=28678.36 
成飞集成(002190) on 07-13 22:17:49, price=38.74, ratio=  0.21%,amount=55831.24 
劲嘉股份(002191) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST路翔 (002192) on 07-13 22:17:49, price=26.11, ratio=  2.39%,amount=28233.50 
山东如意(002193) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
武汉凡谷(002194) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
二三四五(002195) on 07-13 22:17:49, price=32.34, ratio=  0.00%,amount=2602.66 
方正电机(002196) on 07-13 22:17:49, price=24.23, ratio=  0.00%,amount=1846.81 
证通电子(002197) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
嘉应制药(002198) on 07-13 22:17:49, price= 9.96, ratio=  1.12%,amount=24166.45 
东晶电子(002199) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
云投生态(002200) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
九鼎新材(002201) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金风科技(002202) on 07-13 22:17:49, price=19.44, ratio=  0.21%,amount=215935.93 
海亮股份(002203) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大连重工(002204) on 07-13 22:17:49, price=10.77, ratio=  5.07%,amount=33890.46 
国统股份(002205) on 07-13 22:17:49, price=26.45, ratio=  7.52%,amount=39192.04 
海利得  (002206) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
准油股份(002207) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
合肥城建(002208) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
达意隆  (002209) on 07-13 22:17:49, price=29.17, ratio= 22.10%,amount=152959.21 
飞马国际(002210) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
宏达新材(002211) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
南洋股份(002212) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
特尔佳  (002213) on 07-13 22:17:49, price=13.31, ratio=  1.68%,amount=9673.78 
大立科技(002214) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
诺普信  (002215) on 07-13 22:17:49, price=12.47, ratio=  0.00%,amount=564.66 
三全食品(002216) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
合力泰  (002217) on 07-13 22:17:49, price=22.38, ratio=  2.66%,amount=156773.94 
拓日新能(002218) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
恒康医疗(002219) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
天宝股份(002220) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
东华能源(002221) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
福晶科技(002222) on 07-13 22:17:49, price=13.79, ratio=  0.00%,amount=17484.88 
鱼跃医疗(002223) on 07-13 22:17:49, price=60.48, ratio=  0.00%,amount=18656.87 
三力士  (002224) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
濮耐股份(002225) on 07-13 22:17:49, price= 9.70, ratio=  6.71%,amount=39819.48 
江南化工(002226) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
奥特迅  (002227) on 07-13 22:17:49, price=23.71, ratio=  0.00%,amount=5214.20 
合兴包装(002228) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
鸿博股份(002229) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
科大讯飞(002230) on 07-13 22:17:49, price=36.43, ratio=  0.00%,amount=25798.30 
奥维通信(002231) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
启明信息(002232) on 07-13 22:17:49, price=14.11, ratio=  0.00%,amount=22537.68 
塔牌集团(002233) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
民和股份(002234) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
安妮股份(002235) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大华股份(002236) on 07-13 22:17:49, price=35.50, ratio=  0.00%,amount=9585.14 
恒邦股份(002237) on 07-13 22:17:49, price=12.20, ratio=  6.09%,amount=65397.75 
天威视讯(002238) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金飞达  (002239) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
威华股份(002240) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
歌尔声学(002241) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
九阳股份(002242) on 07-13 22:17:49, price=20.98, ratio= 10.48%,amount=55262.03 
通产丽星(002243) on 07-13 22:17:49, price= 9.90, ratio=  0.00%,amount=15656.49 
滨江集团(002244) on 07-13 22:17:49, price= 9.28, ratio=  8.03%,amount=91460.18 
澳洋顺昌(002245) on 07-13 22:17:49, price= 6.63, ratio=  0.00%,amount=734.46 
北化股份(002246) on 07-13 22:17:49, price=11.50, ratio=  4.55%,amount=16578.79 
帝龙新材(002247) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华东数控(002248) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大洋电机(002249) on 07-13 22:17:49, price=11.69, ratio=  0.00%,amount=4312.70 
联化科技(002250) on 07-13 22:17:49, price=22.88, ratio=  3.02%,amount=75387.49 
步步高  (002251) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
上海莱士(002252) on 07-13 22:17:49, price=87.96, ratio=  1.07%,amount=168046.68 
川大智胜(002253) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
泰和新材(002254) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海陆重工(002255) on 07-13 22:17:49, price= 7.76, ratio=  0.00%,amount=470.07 
彩虹精化(002256) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
利尔化学(002258) on 07-13 22:17:49, price=22.10, ratio=  2.03%,amount=10540.12 
升达林业(002259) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
德奥通航(002260) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
拓维信息(002261) on 07-13 22:17:49, price=32.89, ratio=  0.00%,amount=2536.37 
恩华药业(002262) on 07-13 22:17:49, price=37.14, ratio=  3.17%,amount=59909.62 
大东南  (002263) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
新华都  (002264) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
西仪股份(002265) on 07-13 22:17:49, price=14.54, ratio=  0.00%,amount=7873.01 
浙富控股(002266) on 07-13 22:17:49, price= 7.98, ratio=  0.00%,amount=4000.36 
陕天然气(002267) on 07-13 22:17:49, price=17.98, ratio=  6.39%,amount=81944.01 
卫士通  (002268) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
美邦服饰(002269) on 07-13 22:17:49, price=10.93, ratio=  7.05%,amount=159156.95 
法因数控(002270) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
东方雨虹(002271) on 07-13 22:17:49, price=24.90, ratio=  0.40%,amount=40944.04 
川润股份(002272) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
水晶光电(002273) on 07-13 22:17:49, price=23.10, ratio=  0.00%,amount=4459.71 
华昌化工(002274) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
桂林三金(002275) on 07-13 22:17:49, price=24.21, ratio=  7.60%,amount=29795.69 
万马股份(002276) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
友阿股份(002277) on 07-13 22:17:49, price=15.04, ratio=  4.16%,amount=62294.95 
神开股份(002278) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
久其软件(002279) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
联络互动(002280) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
光迅科技(002281) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
博深工具(002282) on 07-13 22:17:49, price=10.91, ratio=  0.00%,amount=9708.14 
天润曲轴(002283) on 07-13 22:17:49, price=13.40, ratio=  0.00%,amount=4117.62 
亚太股份(002284) on 07-13 22:17:49, price=19.07, ratio=  0.00%,amount=33201.01 
世联行  (002285) on 07-13 22:17:49, price=19.27, ratio=  0.00%,amount=63216.02 
保龄宝  (002286) on 07-13 22:17:49, price=10.78, ratio=  0.00%,amount=128.73 
奇正藏药(002287) on 07-13 22:17:49, price=38.60, ratio=  7.88%,amount=18338.44 
超华科技(002288) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
宇顺电子(002289) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
禾盛新材(002290) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
星期六  (002291) on 07-13 22:17:49, price=12.39, ratio=  0.00%,amount=5399.10 
奥飞动漫(002292) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
罗莱家纺(002293) on 07-13 22:17:49, price=21.91, ratio=  4.78%,amount=63130.40 
信立泰  (002294) on 07-13 22:17:49, price=34.23, ratio=  4.39%,amount=127014.64 
精艺股份(002295) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
辉煌科技(002296) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
博云新材(002297) on 07-13 22:17:49, price=12.91, ratio=  0.00%,amount=23080.54 
鑫龙电器(002298) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
圣农发展(002299) on 07-13 22:17:49, price=16.29, ratio=  0.00%,amount=15220.94 
太阳电缆(002300) on 07-13 22:17:49, price=10.74, ratio=  2.78%,amount=13444.02 
齐心集团(002301) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
西部建设(002302) on 07-13 22:17:49, price=19.57, ratio=  7.06%,amount=26316.39 
美盈森  (002303) on 07-13 22:17:49, price=21.43, ratio=  0.00%,amount=120827.26 
洋河股份(002304) on 07-13 22:17:49, price=75.45, ratio=  2.10%,amount=147629.12 
南国置业(002305) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST云网 (002306) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
北新路桥(002307) on 07-13 22:17:49, price= 9.79, ratio=  0.93%,amount=37648.22 
威创股份(002308) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中利科技(002309) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
东方园林(002310) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海大集团(002311) on 07-13 22:17:49, price=17.41, ratio=  8.81%,amount=64002.42 
三泰控股(002312) on 07-13 22:17:49, price=27.04, ratio=  0.00%,amount=4150.41 
日海通讯(002313) on 07-13 22:17:49, price=13.55, ratio=  0.30%,amount=15660.92 
雅致股份(002314) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
焦点科技(002315) on 07-13 22:17:49, price=80.53, ratio=  1.96%,amount=29283.92 
键桥通讯(002316) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
众生药业(002317) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
久立特材(002318) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
乐通股份(002319) on 07-13 22:17:49, price=18.13, ratio=  0.00%,amount=6085.35 
海峡股份(002320) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华英农业(002321) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
理工监测(002322) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中联电气(002323) on 07-13 22:17:49, price=24.28, ratio=  0.00%,amount=1495.91 
普利特  (002324) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
洪涛股份(002325) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
永太科技(002326) on 07-13 22:17:49, price=21.48, ratio=  0.00%,amount=56730.52 
富安娜  (002327) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
新朋股份(002328) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
皇氏集团(002329) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
得利斯  (002330) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
皖通科技(002331) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
仙琚制药(002332) on 07-13 22:17:49, price=13.60, ratio=  0.00%,amount=20354.01 
罗普斯金(002333) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
英威腾  (002334) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
科华恒盛(002335) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
人人乐  (002336) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
赛象科技(002337) on 07-13 22:17:49, price= 9.59, ratio=  0.00%,amount=36244.16 
奥普光电(002338) on 07-13 22:17:49, price=56.03, ratio=  2.81%,amount=13332.45 
积成电子(002339) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
格林美  (002340) on 07-13 22:17:49, price=15.38, ratio=  1.45%,amount=127906.27 
新纶科技(002341) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
巨力索具(002342) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
禾欣股份(002343) on 07-13 22:17:49, price=23.72, ratio=  0.00%,amount=19398.73 
海宁皮城(002344) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
潮宏基  (002345) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
柘中股份(002346) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
泰尔重工(002347) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
高乐股份(002348) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
精华制药(002349) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
北京科锐(002350) on 07-13 22:17:49, price=16.29, ratio=  0.12%,amount=11158.69 
漫步者  (002351) on 07-13 22:17:49, price=25.25, ratio=  3.10%,amount=24819.87 
鼎泰新材(002352) on 07-13 22:17:49, price=36.82, ratio=  0.00%,amount=8939.85 
杰瑞股份(002353) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
天神娱乐(002354) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
兴民钢圈(002355) on 07-13 22:17:49, price= 8.67, ratio=  0.46%,amount=23040.95 
浩宁达  (002356) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
富临运业(002357) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
森源电气(002358) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
齐星铁塔(002359) on 07-13 22:17:49, price=11.45, ratio=  0.00%,amount=2215.71 
同德化工(002360) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
神剑股份(002361) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
汉王科技(002362) on 07-13 22:17:49, price=22.25, ratio=  0.00%,amount=26405.86 
隆基机械(002363) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中恒电气(002364) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
永安药业(002365) on 07-13 22:17:49, price=18.32, ratio=  8.40%,amount=28465.09 
丹甫股份(002366) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
康力电梯(002367) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
太极股份(002368) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
卓翼科技(002369) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
亚太药业(002370) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
七星电子(002371) on 07-13 22:17:49, price=29.68, ratio=  2.34%,amount=23206.75 
伟星新材(002372) on 07-13 22:17:49, price=18.22, ratio=  0.00%,amount=21329.84 
千方科技(002373) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
丽鹏股份(002374) on 07-13 22:17:49, price=25.67, ratio= 14.09%,amount=76210.29 
亚厦股份(002375) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
新北洋  (002376) on 07-13 22:17:49, price=16.60, ratio=  0.73%,amount=69769.83 
国创高新(002377) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
章源钨业(002378) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
鲁丰环保(002379) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
科远股份(002380) on 07-13 22:17:49, price=40.07, ratio=  0.00%,amount=138.64 
双箭股份(002381) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
蓝帆医疗(002382) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
合众思壮(002383) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
东山精密(002384) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大北农  (002385) on 07-13 22:17:49, price=16.58, ratio=  4.94%,amount=183511.26 
天原集团(002386) on 07-13 22:17:49, price= 7.70, ratio=  4.34%,amount=29359.96 
黑牛食品(002387) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
新亚制程(002388) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
南洋科技(002389) on 07-13 22:17:49, price=15.13, ratio=  0.00%,amount=11216.29 
信邦制药(002390) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
长青股份(002391) on 07-13 22:17:49, price=18.17, ratio=  3.53%,amount=33330.84 
北京利尔(002392) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
力生制药(002393) on 07-13 22:17:49, price=42.52, ratio=  9.03%,amount=50001.36 
联发股份(002394) on 07-13 22:17:49, price=15.17, ratio=  7.59%,amount=34549.38 
双象股份(002395) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
星网锐捷(002396) on 07-13 22:17:49, price=22.72, ratio=  1.43%,amount=53647.87 
梦洁家纺(002397) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
建研集团(002398) on 07-13 22:17:49, price=18.50, ratio=  0.00%,amount=47387.87 
海普瑞  (002399) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
省广股份(002400) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中海科技(002401) on 07-13 22:17:49, price=17.22, ratio=  0.00%,amount=17687.34 
和而泰  (002402) on 07-13 22:17:49, price=25.92, ratio=  0.00%,amount=43671.86 
爱仕达  (002403) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
嘉欣丝绸(002404) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
四维图新(002405) on 07-13 22:17:49, price=33.68, ratio=  2.06%,amount=148855.04 
远东传动(002406) on 07-13 22:17:49, price= 8.66, ratio=  0.00%,amount=429.17 
多氟多  (002407) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
齐翔腾达(002408) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
雅克科技(002409) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
广联达  (002410) on 07-13 22:17:49, price=22.39, ratio=  0.00%,amount=6326.14 
九九久  (002411) on 07-13 22:17:49, price=11.91, ratio=  0.00%,amount=706.96 
汉森制药(002412) on 07-13 22:17:49, price=21.30, ratio=  0.00%,amount=11352.98 
常发股份(002413) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
高德红外(002414) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海康威视(002415) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
爱施德  (002416) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST元达 (002417) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
康盛股份(002418) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
天虹商场(002419) on 07-13 22:17:49, price=14.85, ratio=  2.41%,amount=29997.79 
毅昌股份(002420) on 07-13 22:17:49, price= 9.17, ratio=  1.89%,amount=20357.94 
达实智能(002421) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
科伦药业(002422) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中原特钢(002423) on 07-13 22:17:49, price=13.30, ratio=  5.56%,amount=18394.93 
贵州百灵(002424) on 07-13 22:17:49, price=61.91, ratio=  0.00%,amount=1756.25 
凯撒股份(002425) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
胜利精密(002426) on 07-13 22:17:49, price=15.88, ratio=  0.00%,amount=1623.08 
尤夫股份(002427) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
云南锗业(002428) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
兆驰股份(002429) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
杭氧股份(002430) on 07-13 22:17:49, price=11.10, ratio=  2.78%,amount=24388.57 
棕榈园林(002431) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
九安医疗(002432) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
太安堂  (002433) on 07-13 22:17:49, price=13.99, ratio=  0.07%,amount=33565.82 
万里扬  (002434) on 07-13 22:17:49, price=16.45, ratio=  6.13%,amount=25113.85 
长江润发(002435) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
兴森科技(002436) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
誉衡药业(002437) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
江苏神通(002438) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
启明星辰(002439) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
闰土股份(002440) on 07-13 22:17:49, price=24.15, ratio=  7.81%,amount=122496.06 
众业达  (002441) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
龙星化工(002442) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金洲管道(002443) on 07-13 22:17:49, price=15.74, ratio= 10.30%,amount=210209.63 
巨星科技(002444) on 07-13 22:17:49, price=17.53, ratio=  4.66%,amount=54397.25 
中南重工(002445) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
盛路通信(002446) on 07-13 22:17:49, price=28.69, ratio=  0.00%,amount=4444.76 
壹桥海参(002447) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中原内配(002448) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
