上证50 (000016) on 06-17 17:05:51, price= 3000.03, ratio= -1.57%,amount=941910.56 
*ST川化 (000155) on 07-13 22:17:49, price= 9.74, ratio=  0.52%,amount=47267.19 
华数传媒(000156) on 07-13 22:17:49, price=33.59, ratio=  0.00%,amount=5520.66 
中联重科(000157) on 07-13 22:17:49, price= 7.17, ratio=  7.34%,amount=298099.48 
常山股份(000158) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
国际实业(000159) on 07-13 22:17:49, price= 8.88, ratio=  4.72%,amount=35470.80 
申万宏源(000166) on 07-13 22:17:49, price=15.83, ratio=  2.99%,amount=463962.95 
沪深300 (000300) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
沪深300 (399300) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00
东方市场(000301) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
美的集团(000333) on 07-13 22:17:49, price=38.09, ratio=  2.15%,amount=295822.79 
潍柴动力(000338) on 07-13 22:17:49, price=27.30, ratio=  5.81%,amount=186928.80 
许继电气(000400) on 07-13 22:17:49, price=22.91, ratio=  7.06%,amount=143156.53 
冀东水泥(000401) on 07-13 22:17:49, price=11.23, ratio=  0.63%,amount=55611.87 
金融街  (000402) on 07-13 22:17:49, price=11.52, ratio=  6.57%,amount=204752.06 
ST生化  (000403) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华意压缩(000404) on 07-13 22:17:49, price= 8.07, ratio=  4.26%,amount=43099.01 
胜利股份(000407) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金谷源  (000408) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
山东地矿(000409) on 07-13 22:17:49, price=10.75, ratio=  7.50%,amount=36040.57 
沈阳机床(000410) on 07-13 22:17:49, price=17.89, ratio=  5.24%,amount=146587.46 
英特集团(000411) on 07-13 22:17:49, price=25.09, ratio= 10.00%,amount=17606.30 
东旭光电(000413) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
渤海租赁(000415) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
民生控股(000416) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
合肥百货(000417) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
小天鹅Ａ(000418) on 07-13 22:17:49, price=24.46, ratio=  4.09%,amount=40371.67 
通程控股(000419) on 07-13 22:17:49, price= 7.76, ratio=  1.44%,amount=27106.02 
吉林化纤(000420) on 07-13 22:17:49, price= 8.15, ratio=  5.84%,amount=29580.80 
南京中北(000421) on 07-13 22:17:49, price=11.79, ratio=  9.17%,amount=37893.81 
湖北宜化(000422) on 07-13 22:17:49, price= 8.51, ratio=  4.29%,amount=56478.06 
东阿阿胶(000423) on 07-13 22:17:49, price=51.24, ratio=  3.52%,amount=212272.79 
徐工机械(000425) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
兴业矿业(000426) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华天酒店(000428) on 07-13 22:17:49, price= 7.93, ratio=  0.00%,amount=26632.34 
粤高速Ａ(000429) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
张家界  (000430) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
晨鸣纸业(000488) on 07-13 22:17:49, price= 8.82, ratio=  1.97%,amount=56035.91 
山东路桥(000498) on 07-13 22:17:49, price= 7.02, ratio=  0.00%,amount=17004.96 
鄂武商Ａ(000501) on 07-13 22:17:49, price=21.16, ratio=  5.75%,amount=36617.15 
绿景控股(000502) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海虹控股(000503) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
南华生物(000504) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
珠江控股(000505) on 07-13 22:17:49, price=10.13, ratio=  5.52%,amount=30567.54 
中润资源(000506) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
珠海港  (000507) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华塑控股(000509) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST金路 (000510) on 07-13 22:17:49, price= 6.96, ratio=  2.50%,amount=25870.17 
烯碳新材(000511) on 07-13 22:17:49, price= 7.40, ratio=  0.00%,amount=1401.38 
丽珠集团(000513) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
渝开发  (000514) on 07-13 22:17:49, price= 8.69, ratio=  5.46%,amount=39382.33 
国际医学(000516) on 07-13 22:17:49, price=18.67, ratio=  0.00%,amount=1868.35 
荣安地产(000517) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
四环生物(000518) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
江南红箭(000519) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST凤凰 (000520) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
美菱电器(000521) on 07-13 22:17:49, price= 8.67, ratio=  8.65%,amount=46934.21 
广州浪奇(000523) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
岭南控股(000524) on 07-13 22:17:49, price=15.32, ratio=  0.00%,amount=28009.16 
红太阳  (000525) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
银润投资(000526) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
柳工    (000528) on 07-13 22:17:49, price=10.63, ratio=  5.67%,amount=81644.15 
广弘控股(000529) on 07-13 22:17:49, price=11.30, ratio=  4.73%,amount=31779.52 
大冷股份(000530) on 07-13 22:17:49, price=10.40, ratio=  0.00%,amount=46.06 
穗恒运Ａ(000531) on 07-13 22:17:49, price=11.20, ratio=  4.67%,amount=20935.29 
力合股份(000532) on 07-13 22:17:49, price=18.11, ratio=  0.00%,amount=4516.67 
万家乐  (000533) on 07-13 22:17:49, price=10.25, ratio=  7.33%,amount=47312.62 
万泽股份(000534) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华映科技(000536) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
广宇发展(000537) on 07-13 22:17:49, price= 8.47, ratio=  3.42%,amount=41390.90 
云南白药(000538) on 07-13 22:17:49, price=76.99, ratio=  2.65%,amount=233217.67 
粤电力Ａ(000539) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中天城投(000540) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
佛山照明(000541) on 07-13 22:17:49, price=10.86, ratio=  4.42%,amount=79349.16 
皖能电力(000543) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中原环保(000544) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金浦钛业(000545) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金圆股份(000546) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
闽福发Ａ(000547) on 07-13 22:17:49, price=17.34, ratio=  0.00%,amount=2281.56 
湖南投资(000548) on 07-13 22:17:49, price= 9.56, ratio=  2.80%,amount=44198.49 
江铃汽车(000550) on 07-13 22:17:49, price=37.51, ratio=  5.13%,amount=45304.19 
创元科技(000551) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
靖远煤电(000552) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
沙隆达Ａ(000553) on 07-13 22:17:49, price=12.24, ratio=  5.61%,amount=38078.28 
泰山石油(000554) on 07-13 22:17:49, price=13.02, ratio=  5.17%,amount=154126.59 
神州信息(000555) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST广夏 (000557) on 07-13 22:17:49, price= 6.90, ratio=  0.00%,amount=1855.67 
莱茵置业(000558) on 07-13 22:17:49, price=29.52, ratio=  0.00%,amount=11283.72 
万向钱潮(000559) on 07-13 22:17:49, price=15.51, ratio=  2.31%,amount=52421.19 
昆百大Ａ(000560) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
烽火电子(000561) on 07-13 22:17:49, price= 9.83, ratio=  1.34%,amount=17174.60 
陕国投Ａ(000563) on 07-13 22:17:49, price=11.87, ratio=  5.14%,amount=47020.91 
西安民生(000564) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
渝三峡Ａ(000565) on 07-13 22:17:49, price=29.18, ratio=  0.00%,amount=1971.83 
海南海药(000566) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海德股份(000567) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
泸州老窖(000568) on 07-13 22:17:49, price=26.36, ratio=  7.15%,amount=216664.30 
苏常柴Ａ(000570) on 07-13 22:17:49, price=11.32, ratio=  5.99%,amount=50176.08 
新大洲Ａ(000571) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海马汽车(000572) on 07-13 22:17:49, price= 7.43, ratio=  3.77%,amount=68898.34 
粤宏远Ａ(000573) on 07-13 22:17:49, price= 5.67, ratio=  1.43%,amount=21985.41 
广东甘化(000576) on 07-13 22:17:49, price=11.84, ratio=  4.78%,amount=50871.27 
威孚高科(000581) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
北部湾港(000582) on 07-13 22:17:49, price=22.06, ratio=  5.40%,amount=20210.58 
友利控股(000584) on 07-13 22:17:49, price=14.08, ratio=  2.03%,amount=65857.96 
东北电气(000585) on 07-13 22:17:49, price= 5.34, ratio=  3.09%,amount=27401.19 
汇源通信(000586) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金叶珠宝(000587) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
